graphics,name,id,name,climates_available,introduction_date,model_life,retire_early,reliability_decay,cost_factor,running_cost_factor,sprite_id,speed,refit_cost,track_type,power,running_cost_base,dual_headed,weight,engine_class,tractive_effort_coefficient,air_drag_coefficient,length,visual_effect_and_powered,misc_flags
../graphics/Vehicles/PixelTool_Monorail/Rail_Monorail_Engine_6_8bpp,Turnkey 'A1' (Biofuel),_MONO_engine_1,string(STR_NAME_MONO_ENGINE_1),ALL_CLIMATES,"date(1932, 01, 01)",18,0,20,6,41,SPRITE_ID_NEW_TRAIN,85 km/h,0,MONO,2263 hp,RUNNING_COST_DIESEL,0,75 ton,ENGINE_CLASS_DIESEL,0.42,0.1,6,"[VISUAL_EFFECT_DIESEL, 2, DISABLE_WAGON_POWER]",bitmask(TRAIN_FLAG_2CC)
../graphics/Vehicles/PixelTool_Monorail/Rail_Monorail_Engine_4_8bpp,MKS Mod0 (Electric),_MONO_engine_2,string(STR_NAME_MONO_ENGINE_2),ALL_CLIMATES,"date(1943, 01, 01)",18,1,20,10,64,SPRITE_ID_NEW_TRAIN,96 km/h,1,MONO,2568 hp,RUNNING_COST_ELECTRIC,0,81 ton,ENGINE_CLASS_ELECTRIC,0.42,0.08,8,"[VISUAL_EFFECT_ELECTRIC, 0, DISABLE_WAGON_POWER]",bitmask(TRAIN_FLAG_2CC)
../graphics/Vehicles/PixelTool_Monorail/Rail_Monorail_Engine_5_8bpp,HellasWorks GripX (Electric),_MONO_engine_3,string(STR_NAME_MONO_ENGINE_3),ALL_CLIMATES,"date(1953, 01, 01)",20,2,20,13,82,SPRITE_ID_NEW_TRAIN,103 km/h,2,MONO,3650 hp,RUNNING_COST_ELECTRIC,0,92 ton,ENGINE_CLASS_ELECTRIC,0.42,0.08,8,"[VISUAL_EFFECT_ELECTRIC, 0, DISABLE_WAGON_POWER]",bitmask(TRAIN_FLAG_2CC)
../graphics/Vehicles/PixelTool_Monorail/Rail_Monorail_Engine_10_8bpp,Aclid. Eng. 'A9' (Electric),_MONO_engine_4,string(STR_NAME_MONO_ENGINE_4),ALL_CLIMATES,"date(1968, 01, 01)",18,3,20,16,95,SPRITE_ID_NEW_TRAIN,123 km/h,3,MONO,3956 hp,RUNNING_COST_ELECTRIC,0,113 ton,ENGINE_CLASS_ELECTRIC,0.42,0.065,8,"[VISUAL_EFFECT_ELECTRIC, 0, DISABLE_WAGON_POWER]",bitmask(TRAIN_FLAG_2CC)
../graphics/Vehicles/PixelTool_Monorail/Rail_Monorail_Engine_9_8bpp,Turnkey 156 (Electric),_MONO_engine_5,string(STR_NAME_MONO_ENGINE_5),ALL_CLIMATES,"date(1972, 01, 01)",22,4,20,20,103,SPRITE_ID_NEW_TRAIN,132 km/h,4,MONO,5006 hp,RUNNING_COST_ELECTRIC,1,120 ton,ENGINE_CLASS_ELECTRIC,0.42,0.06,4,"[VISUAL_EFFECT_ELECTRIC, 4, DISABLE_WAGON_POWER]",bitmask(TRAIN_FLAG_2CC)
../graphics/Vehicles/PixelTool_Monorail/Rail_Monorail_Engine_1_8bpp,MKS pKX (Biofuel),_MONO_engine_6,string(STR_NAME_MONO_ENGINE_6),ALL_CLIMATES,"date(1989, 01, 01)",22,5,20,23,98,SPRITE_ID_NEW_TRAIN,156 km/h,5,MONO,7560 hp,RUNNING_COST_DIESEL,0,135 ton,ENGINE_CLASS_DIESEL,0.42,0.05,8,"[VISUAL_EFFECT_DIESEL, 0, DISABLE_WAGON_POWER]",bitmask(TRAIN_FLAG_2CC)
../graphics/Vehicles/PixelTool_Monorail/Rail_Monorail_Engine_3_8bpp,Argyre Coop 'R2' (Fuel Cell),_MONO_engine_7,string(STR_NAME_MONO_ENGINE_7),ALL_CLIMATES,"date(1997, 01, 01)",22,6,20,26,117,SPRITE_ID_NEW_TRAIN,175 km/h,6,MONO,7862 hp,RUNNING_COST_STEAM,0,65 ton,ENGINE_CLASS_STEAM,0.42,0.045,8,"[VISUAL_EFFECT_STEAM, 0, DISABLE_WAGON_POWER]",bitmask(TRAIN_FLAG_2CC)
../graphics/Vehicles/PixelTool_Monorail/Rail_Monorail_Engine_2_8bpp,HellasWorks NRx2 (Biofuel),_MONO_engine_8,string(STR_NAME_MONO_ENGINE_8),ALL_CLIMATES,"date(2020, 01, 01)",20,7,20,29,120,SPRITE_ID_NEW_TRAIN,189 km/h,7,MONO,7893 hp,RUNNING_COST_DIESEL,1,79 ton,ENGINE_CLASS_DIESEL,0.42,0.04,8,"[VISUAL_EFFECT_DIESEL, 0, DISABLE_WAGON_POWER]",bitmask(TRAIN_FLAG_2CC)
../graphics/Vehicles/PixelTool_Monorail/Rail_Monorail_Engine_7_8bpp,HellasWorks 8000 (Fuel Cell),_MONO_engine_9,string(STR_NAME_MONO_ENGINE_9),ALL_CLIMATES,"date(2035, 01, 01)",20,8,20,32,143,SPRITE_ID_NEW_TRAIN,199 km/h,8,MONO,8000 hp,RUNNING_COST_STEAM,0,89 ton,ENGINE_CLASS_STEAM,0.42,0.04,8,"[VISUAL_EFFECT_STEAM, 0, DISABLE_WAGON_POWER]",bitmask(TRAIN_FLAG_2CC)
../graphics/Vehicles/PixelTool_Monorail/Rail_Monorail_Engine_8_8bpp,Argyre Coop HST (Fuel Cell),_MONO_engine_10,string(STR_NAME_MONO_ENGINE_10),ALL_CLIMATES,"date(2045, 01, 01)",22,9,20,35,151,SPRITE_ID_NEW_TRAIN,220 km/h,9,MONO,8050 hp,RUNNING_COST_STEAM,1,91 ton,ENGINE_CLASS_STEAM,0.42,0.035,7,"[VISUAL_EFFECT_STEAM, 1, DISABLE_WAGON_POWER]",bitmask(TRAIN_FLAG_2CC)
